id,stop_id,on_street,cross_street,routes,boardings,alightings,month_beginning,daytype,location,lat,lon,num_routes,route,total_traffic
11261,3466,95TH STREET,THROOP,"N9,95W",40.8,166.7,10/01/2012,Weekday,"(41.72140200, -87.65517800)",41.721402,-87.655178,2,N9,207.5
11262,3466,95TH STREET,THROOP,"N9,95W",40.8,166.7,10/01/2012,Weekday,"(41.72140200, -87.65517800)",41.721402,-87.655178,2,95W,207.5
11263,3467,95TH STREET,LOOMIS,"N9,95W",55.4,112.7,10/01/2012,Weekday,"(41.72133700, -87.65756700)",41.721337,-87.657567,2,N9,168.1
11264,3467,95TH STREET,LOOMIS,"N9,95W",55.4,112.7,10/01/2012,Weekday,"(41.72133700, -87.65756700)",41.721337,-87.657567,2,95W,168.1
11265,3468,95TH STREET,BISHOP,"N9,95W",9.1,54.6,10/01/2012,Weekday,"(41.72137500, -87.65882500)",41.721375,-87.658825,2,N9,63.7
11266,3468,95TH STREET,BISHOP,"N9,95W",9.1,54.6,10/01/2012,Weekday,"(41.72137500, -87.65882500)",41.721375,-87.658825,2,95W,63.7
11267,3469,95TH STREET,LAFLIN,"N9,95W",13.3,256.7,10/01/2012,Weekday,"(41.72135300, -87.66006500)",41.721353,-87.660065,2,N9,270
11268,3469,95TH STREET,LAFLIN,"N9,95W",13.3,256.7,10/01/2012,Weekday,"(41.72135300, -87.66006500)",41.721353,-87.660065,2,95W,270
11269,3479,WESTERN,95TH STREET,"48,49A,95W",50,457,10/01/2012,Weekday,"(41.72059859, -87.68223215)",41.72059859,-87.68223215,3,48,507
11270,3479,WESTERN,95TH STREET,"48,49A,95W",50,457,10/01/2012,Weekday,"(41.72059859, -87.68223215)",41.72059859,-87.68223215,3,49A,507
11271,3479,WESTERN,95TH STREET,"48,49A,95W",50,457,10/01/2012,Weekday,"(41.72059859, -87.68223215)",41.72059859,-87.68223215,3,95W,507
11272,3480,WESTERN,96TH STREET,"48,49A,95W",4.4,54.1,10/01/2012,Weekday,"(41.71884494, -87.68212805)",41.71884494,-87.68212805,3,48,58.5
11273,3480,WESTERN,96TH STREET,"48,49A,95W",4.4,54.1,10/01/2012,Weekday,"(41.71884494, -87.68212805)",41.71884494,-87.68212805,3,49A,58.5
11274,3480,WESTERN,96TH STREET,"48,49A,95W",4.4,54.1,10/01/2012,Weekday,"(41.71884494, -87.68212805)",41.71884494,-87.68212805,3,95W,58.5
11275,3481,WESTERN,97TH STREET,"48,49A,95W",7.7,64,10/01/2012,Weekday,"(41.71735780, -87.68208566)",41.7173578,-87.68208566,3,48,71.7
11276,3481,WESTERN,97TH STREET,"48,49A,95W",7.7,64,10/01/2012,Weekday,"(41.71735780, -87.68208566)",41.7173578,-87.68208566,3,49A,71.7
11277,3481,WESTERN,97TH STREET,"48,49A,95W",7.7,64,10/01/2012,Weekday,"(41.71735780, -87.68208566)",41.7173578,-87.68208566,3,95W,71.7
11278,3482,WESTERN,98TH STREET,"48,49A,95W",22.5,84.1,10/01/2012,Weekday,"(41.71562235, -87.68206129)",41.71562235,-87.68206129,3,48,106.6
11279,3482,WESTERN,98TH STREET,"48,49A,95W",22.5,84.1,10/01/2012,Weekday,"(41.71562235, -87.68206129)",41.71562235,-87.68206129,3,49A,106.6
11280,3482,WESTERN,98TH STREET,"48,49A,95W",22.5,84.1,10/01/2012,Weekday,"(41.71562235, -87.68206129)",41.71562235,-87.68206129,3,95W,106.6
11281,3497,95TH STREET,WINSTON,"N9,95W",71,6.1,10/01/2012,Weekday,"(41.72114200, -87.66082300)",41.721142,-87.660823,2,N9,77.1
11282,3497,95TH STREET,WINSTON,"N9,95W",71,6.1,10/01/2012,Weekday,"(41.72114200, -87.66082300)",41.721142,-87.660823,2,95W,77.1
11283,3498,95TH STREET,BISHOP,"N9,95W",65.2,14.2,10/01/2012,Weekday,"(41.72115300, -87.65926300)",41.721153,-87.659263,2,N9,79.4
11284,3498,95TH STREET,BISHOP,"N9,95W",65.2,14.2,10/01/2012,Weekday,"(41.72115300, -87.65926300)",41.721153,-87.659263,2,95W,79.4
11285,3500,95TH STREET,THROOP,"N9,95W",113.2,40.3,10/01/2012,Weekday,"(41.72120191, -87.65547979)",41.72120191,-87.65547979,2,N9,153.5
11286,3500,95TH STREET,THROOP,"N9,95W",113.2,40.3,10/01/2012,Weekday,"(41.72120191, -87.65547979)",41.72120191,-87.65547979,2,95W,153.5
11287,3501,95TH STREET,RACINE,"N9,95W",56.9,58.9,10/01/2012,Weekday,"(41.72123266, -87.65304791)",41.72123266,-87.65304791,2,N9,115.8
11288,3501,95TH STREET,RACINE,"N9,95W",56.9,58.9,10/01/2012,Weekday,"(41.72123266, -87.65304791)",41.72123266,-87.65304791,2,95W,115.8
11289,3502,95TH STREET,VINCENNES,"N9,95W",133.4,104.5,10/01/2012,Weekday,"(41.72124707, -87.65093330)",41.72124707,-87.6509333,2,N9,237.9
11290,3502,95TH STREET,VINCENNES,"N9,95W",133.4,104.5,10/01/2012,Weekday,"(41.72124707, -87.65093330)",41.72124707,-87.6509333,2,95W,237.9
11291,3503,95TH STREET,MORGAN,"N9,95W,112",64.3,42.3,10/01/2012,Weekday,"(41.72130231, -87.64811279)",41.72130231,-87.64811279,3,N9,106.6
11292,3503,95TH STREET,MORGAN,"N9,95W,112",64.3,42.3,10/01/2012,Weekday,"(41.72130231, -87.64811279)",41.72130231,-87.64811279,3,95W,106.6
11293,3503,95TH STREET,MORGAN,"N9,95W,112",64.3,42.3,10/01/2012,Weekday,"(41.72130231, -87.64811279)",41.72130231,-87.64811279,3,112,106.6
11294,3504,95TH STREET,PEORIA,"N9,95W,112",35.1,141.4,10/01/2012,Weekday,"(41.72132140, -87.64574306)",41.7213214,-87.64574306,3,N9,176.5
11295,3504,95TH STREET,PEORIA,"N9,95W,112",35.1,141.4,10/01/2012,Weekday,"(41.72132140, -87.64574306)",41.7213214,-87.64574306,3,95W,176.5
11296,3504,95TH STREET,PEORIA,"N9,95W,112",35.1,141.4,10/01/2012,Weekday,"(41.72132140, -87.64574306)",41.7213214,-87.64574306,3,112,176.5
11297,3506,95TH STREET,UNION,"N9,95W,108,112",36.4,18.8,10/01/2012,Weekday,"(41.72138700, -87.64093200)",41.721387,-87.640932,4,N9,55.2
11298,3506,95TH STREET,UNION,"N9,95W,108,112",36.4,18.8,10/01/2012,Weekday,"(41.72138700, -87.64093200)",41.721387,-87.640932,4,95W,55.2
11299,3506,95TH STREET,UNION,"N9,95W,108,112",36.4,18.8,10/01/2012,Weekday,"(41.72138700, -87.64093200)",41.721387,-87.640932,4,108,55.2
11300,3506,95TH STREET,UNION,"N9,95W,108,112",36.4,18.8,10/01/2012,Weekday,"(41.72138700, -87.64093200)",41.721387,-87.640932,4,112,55.2
11301,3507,95TH STREET,WALLACE,"N9,95W,108,112",72.4,35,10/01/2012,Weekday,"(41.72141700, -87.63850700)",41.721417,-87.638507,4,N9,107.4
11302,3507,95TH STREET,WALLACE,"N9,95W,108,112",72.4,35,10/01/2012,Weekday,"(41.72141700, -87.63850700)",41.721417,-87.638507,4,95W,107.4
11303,3507,95TH STREET,WALLACE,"N9,95W,108,112",72.4,35,10/01/2012,Weekday,"(41.72141700, -87.63850700)",41.721417,-87.638507,4,108,107.4
11304,3507,95TH STREET,WALLACE,"N9,95W,108,112",72.4,35,10/01/2012,Weekday,"(41.72141700, -87.63850700)",41.721417,-87.638507,4,112,107.4
11305,3508,95TH STREET,NORMAL,"N9,95W,108,112",72.4,43.1,10/01/2012,Weekday,"(41.72145800, -87.63609800)",41.721458,-87.636098,4,N9,115.5
11306,3508,95TH STREET,NORMAL,"N9,95W,108,112",72.4,43.1,10/01/2012,Weekday,"(41.72145800, -87.63609800)",41.721458,-87.636098,4,95W,115.5
11307,3508,95TH STREET,NORMAL,"N9,95W,108,112",72.4,43.1,10/01/2012,Weekday,"(41.72145800, -87.63609800)",41.721458,-87.636098,4,108,115.5
11308,3508,95TH STREET,NORMAL,"N9,95W,108,112",72.4,43.1,10/01/2012,Weekday,"(41.72145800, -87.63609800)",41.721458,-87.636098,4,112,115.5
11309,3509,95TH STREET,EGGLESTON (east leg),"N9,95W,108,112",48.2,49.9,10/01/2012,Weekday,"(41.72149000, -87.63410500)",41.72149,-87.634105,4,N9,98.1
11310,3509,95TH STREET,EGGLESTON (east leg),"N9,95W,108,112",48.2,49.9,10/01/2012,Weekday,"(41.72149000, -87.63410500)",41.72149,-87.634105,4,95W,98.1
11311,3509,95TH STREET,EGGLESTON (east leg),"N9,95W,108,112",48.2,49.9,10/01/2012,Weekday,"(41.72149000, -87.63410500)",41.72149,-87.634105,4,108,98.1
11312,3509,95TH STREET,EGGLESTON (east leg),"N9,95W,108,112",48.2,49.9,10/01/2012,Weekday,"(41.72149000, -87.63410500)",41.72149,-87.634105,4,112,98.1
11313,3510,95TH STREET,PRINCETON,"N9,95W,108,112",49.7,58.6,10/01/2012,Weekday,"(41.72151704, -87.63121104)",41.72151704,-87.63121104,4,N9,108.3
11314,3510,95TH STREET,PRINCETON,"N9,95W,108,112",49.7,58.6,10/01/2012,Weekday,"(41.72151704, -87.63121104)",41.72151704,-87.63121104,4,95W,108.3
11315,3510,95TH STREET,PRINCETON,"N9,95W,108,112",49.7,58.6,10/01/2012,Weekday,"(41.72151704, -87.63121104)",41.72151704,-87.63121104,4,108,108.3
11316,3510,95TH STREET,PRINCETON,"N9,95W,108,112",49.7,58.6,10/01/2012,Weekday,"(41.72151704, -87.63121104)",41.72151704,-87.63121104,4,112,108.3
11317,3511,95TH STREET,WENTWORTH,"N9,95W,108,112",20,218.6,10/01/2012,Weekday,"(41.72155016, -87.62877168)",41.72155016,-87.62877168,4,N9,238.6
11318,3511,95TH STREET,WENTWORTH,"N9,95W,108,112",20,218.6,10/01/2012,Weekday,"(41.72155016, -87.62877168)",41.72155016,-87.62877168,4,95W,238.6
11319,3511,95TH STREET,WENTWORTH,"N9,95W,108,112",20,218.6,10/01/2012,Weekday,"(41.72155016, -87.62877168)",41.72155016,-87.62877168,4,108,238.6
11320,3511,95TH STREET,WENTWORTH,"N9,95W,108,112",20,218.6,10/01/2012,Weekday,"(41.72155016, -87.62877168)",41.72155016,-87.62877168,4,112,238.6
11321,3513,HOWARD,CHICAGO AVENUE,"97,201,205,206",250,9.4,10/01/2012,Weekday,"(42.01947604, -87.67618415)",42.01947604,-87.67618415,4,97,259.4
11322,3513,HOWARD,CHICAGO AVENUE,"97,201,205,206",250,9.4,10/01/2012,Weekday,"(42.01947604, -87.67618415)",42.01947604,-87.67618415,4,201,259.4
11323,3513,HOWARD,CHICAGO AVENUE,"97,201,205,206",250,9.4,10/01/2012,Weekday,"(42.01947604, -87.67618415)",42.01947604,-87.67618415,4,205,259.4
11324,3513,HOWARD,CHICAGO AVENUE,"97,201,205,206",250,9.4,10/01/2012,Weekday,"(42.01947604, -87.67618415)",42.01947604,-87.67618415,4,206,259.4
11325,3514,HOWARD,CLYDE,"97,201,206",113,28.5,10/01/2012,Weekday,"(42.01948337, -87.67752857)",42.01948337,-87.67752857,3,97,141.5
11326,3514,HOWARD,CLYDE,"97,201,206",113,28.5,10/01/2012,Weekday,"(42.01948337, -87.67752857)",42.01948337,-87.67752857,3,201,141.5
11327,3514,HOWARD,CLYDE,"97,201,206",113,28.5,10/01/2012,Weekday,"(42.01948337, -87.67752857)",42.01948337,-87.67752857,3,206,141.5
11328,3515,HOWARD,CUSTER,"97,201,206",192.1,92.9,10/01/2012,Weekday,"(42.01950215, -87.68028045)",42.01950215,-87.68028045,3,97,285
11329,3515,HOWARD,CUSTER,"97,201,206",192.1,92.9,10/01/2012,Weekday,"(42.01950215, -87.68028045)",42.01950215,-87.68028045,3,201,285
11330,3515,HOWARD,CUSTER,"97,201,206",192.1,92.9,10/01/2012,Weekday,"(42.01950215, -87.68028045)",42.01950215,-87.68028045,3,206,285
11331,3516,HOWARD,ELMWOOD,"97,201,206",50.5,68.6,10/01/2012,Weekday,"(42.01954976, -87.68269490)",42.01954976,-87.6826949,3,97,119.1
11332,3516,HOWARD,ELMWOOD,"97,201,206",50.5,68.6,10/01/2012,Weekday,"(42.01954976, -87.68269490)",42.01954976,-87.6826949,3,201,119.1
11333,3516,HOWARD,ELMWOOD,"97,201,206",50.5,68.6,10/01/2012,Weekday,"(42.01954976, -87.68269490)",42.01954976,-87.6826949,3,206,119.1
11334,3517,HOWARD,RIDGE,"97,201,206",224.1,160.4,10/01/2012,Weekday,"(42.01955190, -87.68439804)",42.0195519,-87.68439804,3,97,384.5
11335,3517,HOWARD,RIDGE,"97,201,206",224.1,160.4,10/01/2012,Weekday,"(42.01955190, -87.68439804)",42.0195519,-87.68439804,3,201,384.5
11336,3517,HOWARD,RIDGE,"97,201,206",224.1,160.4,10/01/2012,Weekday,"(42.01955190, -87.68439804)",42.0195519,-87.68439804,3,206,384.5
11337,3518,HOWARD,BARTON,"97,206",16.2,65.6,10/01/2012,Weekday,"(42.01960031, -87.68847772)",42.01960031,-87.68847772,2,97,81.8
11338,3518,HOWARD,BARTON,"97,206",16.2,65.6,10/01/2012,Weekday,"(42.01960031, -87.68847772)",42.01960031,-87.68847772,2,206,81.8
11339,3519,HOWARD,WESTERN-ASBURY,"97,206",220,205.8,10/01/2012,Weekday,"(42.01959882, -87.68998555)",42.01959882,-87.68998555,2,97,425.8
11340,3519,HOWARD,WESTERN-ASBURY,"97,206",220,205.8,10/01/2012,Weekday,"(42.01959882, -87.68998555)",42.01959882,-87.68998555,2,206,425.8
11341,3524,DODGE,BRUMMEL,"93,97",47.7,23.9,10/01/2012,Weekday,"(42.02119952, -87.69939050)",42.02119952,-87.6993905,2,93,71.6
11342,3524,DODGE,BRUMMEL,"93,97",47.7,23.9,10/01/2012,Weekday,"(42.02119952, -87.69939050)",42.02119952,-87.6993905,2,97,71.6
11343,3525,DODGE,MULFORD,"93,97",23.9,33.7,10/01/2012,Weekday,"(42.02295552, -87.69942549)",42.02295552,-87.69942549,2,93,57.6
11344,3525,DODGE,MULFORD,"93,97",23.9,33.7,10/01/2012,Weekday,"(42.02295552, -87.69942549)",42.02295552,-87.69942549,2,97,57.6
11345,3526,DODGE,KIRK,"93,97",6.4,10,10/01/2012,Weekday,"(42.02472252, -87.69936449)",42.02472252,-87.69936449,2,93,16.4
11346,3526,DODGE,KIRK,"93,97",6.4,10,10/01/2012,Weekday,"(42.02472252, -87.69936449)",42.02472252,-87.69936449,2,97,16.4
11347,3559,DEMPSTER,NILES CENTER,"54A,97",12.9,47.3,10/01/2012,Weekday,"(42.04085460, -87.74808726)",42.0408546,-87.74808726,2,54A,60.2
11348,3559,DEMPSTER,NILES CENTER,"54A,97",12.9,47.3,10/01/2012,Weekday,"(42.04085460, -87.74808726)",42.0408546,-87.74808726,2,97,60.2
11349,3560,DEMPSTER,BRONX,"54A,97",6.8,21.1,10/01/2012,Weekday,"(42.04087391, -87.75047178)",42.04087391,-87.75047178,2,54A,27.9
11350,3560,DEMPSTER,BRONX,"54A,97",6.8,21.1,10/01/2012,Weekday,"(42.04087391, -87.75047178)",42.04087391,-87.75047178,2,97,27.9
11351,3563,BRONX,DEMPSTER,"54A,97",24.4,5.2,10/01/2012,Weekday,"(42.04092439, -87.75048791)",42.04092439,-87.75048791,2,54A,29.6
11352,3563,BRONX,DEMPSTER,"54A,97",24.4,5.2,10/01/2012,Weekday,"(42.04092439, -87.75048791)",42.04092439,-87.75048791,2,97,29.6
11353,3564,DEMPSTER,BRONX,"54A,97",31.5,17.2,10/01/2012,Weekday,"(42.04072068, -87.75082674)",42.04072068,-87.75082674,2,54A,48.7
11354,3564,DEMPSTER,BRONX,"54A,97",31.5,17.2,10/01/2012,Weekday,"(42.04072068, -87.75082674)",42.04072068,-87.75082674,2,97,48.7
11355,3565,BRONX,GROVE,"54A,97",14.4,24,10/01/2012,Weekday,"(42.04431330, -87.75046304)",42.0443133,-87.75046304,2,54A,38.4
